url,book_id,title,author,avg_rating,num_reviews,num_ratings,num_pages,original_publish_year,series,genres,awards,place
https://www.goodreads.com/book/show/78411.The_Bad_Beginning,,The Bad Beginning,Lemony Snicket,3.95,423909,423909,176.0,,True,"Fiction, Young Adult, Childrens, Fantasy, Childrens, Middle Grade, Mystery, Adventure, Audiobook, Humor, Childrens, Juvenile","(3, ""Book Sense Book of the Year Award Nominee for Children's Literature (2001), Nene Award (2003), Silberner Lufti (2000)"")",
https://www.goodreads.com/book/show/5064.World_Without_End,,World Without End,Ken Follett,4.26,211622,211622,1014.0,,True,"Historical, Historical Fiction, Fiction, Historical, Historical, Medieval, European Literature, British Literature, Audiobook, Novels, Romance, Fantasy, Adult","(0, nan)","Kingsbridge, England"
https://www.goodreads.com/book/show/36236125-invisible-monsters,,Invisible Monsters,Chuck Palahniuk,3.98,131604,131604,304.0,1999.0,False,"Fiction, Contemporary, Thriller, Mystery, Novels, Dark, Adult, Humor, Drama, Adult Fiction","(0, nan)",
https://www.goodreads.com/book/show/11899.The_Hours,,The Hours,Michael Cunningham,3.94,127429,127429,230.0,1998.0,False,"Fiction, Historical, Historical Fiction, Contemporary, LGBT, Literary Fiction, Novels, Literature, Classics, Historical, GLBT, Queer","(7, 'Pulitzer Prize for Fiction (1999), Stonewall Book Award for Literature (1999), PEN/Faulkner Award for Fiction (1999), Ferro-Grumley Award for Gay Fiction (1999), National Book Critics Circle Award Nominee for Fiction (1998), Premio Grinzane Cavour for Narrativa Straniera (2000), International Dublin Literary Award Nominee for Shortlist (2000)')","London, England, New York City, New York, Los Angeles, California"
https://www.goodreads.com/book/show/29127.The_Last_Unicorn,,The Last Unicorn,Peter S. Beagle,4.14,101408,101408,294.0,1968.0,True,"Fantasy, Fiction, Classics, Young Adult, Childrens, Adventure, Science Fiction Fantasy, Fantasy, Magic, Fantasy, Unicorns, Fantasy, Fairy Tales","(1, 'Национални фантастични награди for Любим превод за 2015 г. – първо място (2016)')",
https://www.goodreads.com/book/show/8337.Little_House_in_the_Big_Woods,,Little House in the Big Woods,Laura Ingalls Wilder,4.18,240605,240605,198.0,1932.0,True,"Classics, Historical, Historical Fiction, Childrens, Fiction, Young Adult, Historical, Childrens, Middle Grade, Childrens, Juvenile, Audiobook, Family","(1, 'Lewis Carroll Shelf Award (1958)')","Pepin, Wisconsin, Wisconsin"
https://www.goodreads.com/book/show/366522.P_S_I_Love_You,,P.S. I Love You,Cecelia Ahern,4.02,347695,347695,501.0,2004.0,True,"Romance, Womens Fiction, Chick Lit, Fiction, Contemporary, Adult, Romance, Contemporary Romance, Love, Adult Fiction, Drama, Cultural, Ireland","(0, nan)",Dublin
https://www.goodreads.com/book/show/92517.The_Glass_Menagerie,,The Glass Menagerie,Tennessee Williams,3.71,114950,114950,104.0,1945.0,False,"Plays, Classics, Drama, Fiction, Academic, School, Plays, Theatre, Literature, Academic, Read For School, Young Adult, High School, Literature, American","(1, ""New York Drama Critics' Circle Award for Best American Play (1945)"")","United States of America, St. Louis, Missouri"
https://www.goodreads.com/book/show/305234.Wicked_Lovely,,Wicked Lovely,Melissa Marr,3.69,162168,162168,328.0,,True,"Fantasy, Young Adult, Romance, Fantasy, Paranormal, Fantasy, Urban Fantasy, Paranormal, Fairies, Fairies, Fae, Fiction, Romance, Paranormal Romance, Fantasy, Magic","(3, 'RITA Award by Romance Writers of America for Best Young Adult Romance (2008), DABWAHA Romance Tournament for Best Young Adult (2008), Missouri Gateway Readers Award Nominee (2010)')","Huntsdale, Pennsylvania"
https://www.goodreads.com/book/show/4134071-hunted,,Hunted,P.C. Cast,3.91,170318,170318,323.0,,True,"Young Adult, Paranormal, Vampires, Fantasy, Fantasy, Paranormal, Romance, Fiction, Fantasy, Supernatural, Fantasy, Urban Fantasy, Romance, Paranormal Romance, Fantasy, Magic","(1, 'Goodreads Choice Award Nominee for Favorite Book & Young Adult Series (2009)')","Tulsa, Oklahoma"
https://www.goodreads.com/book/show/7090447-the-red-pyramid,,The Red Pyramid,Rick Riordan,4.08,339831,339831,516.0,,True,"Fantasy, Young Adult, Fantasy, Mythology, Childrens, Middle Grade, Adventure, Fiction, Childrens, Fantasy, Magic, Fantasy, Urban Fantasy, Science Fiction Fantasy","(5, ""Pennsylvania Young Readers' Choice Award for Grades 6-8 (2012), New Mexico Land of Enchantment Award for Young Adult (2012), Goodreads Choice Award Nominee for Favorite Book and for Young Adult Fantasy (2010), Carnegie Medal Nominee (2011), Premio El Templo de las Mil Puertas for Mejor novela extranjera perteneciente a saga (2011)"")","London, England, Cairo, Phoenix, Arizona, Duat"
https://www.goodreads.com/book/show/22299763-crooked-kingdom,,Crooked Kingdom,Leigh Bardugo,4.58,251478,251478,561.0,,True,"Fantasy, Young Adult, Fiction, Young Adult, Young Adult Fantasy, LGBT, Romance, Fantasy, Magic, Adventure, Fantasy, High Fantasy, Audiobook","(1, 'Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction (2016)')",Ketterdam
https://www.goodreads.com/book/show/7967.Speaker_for_the_Dead,,Speaker for the Dead,Orson Scott Card,4.07,232171,232171,382.0,1986.0,True,"Science Fiction, Fiction, Fantasy, Science Fiction Fantasy, Young Adult, Audiobook, Space, Science Fiction, Aliens, Novels, Space, Space Opera","(7, 'Hugo Award for Best Novel (1987), Nebula Award for Best Novel (1986), Locus Award for Best Science Fiction Novel (1987), Kurd-Laßwitz-Preis for Foreign Novel (1989), John W. Campbell Memorial Award Nominee for Best Science Fiction Novel (1987), SF Chronicle Award for Best Novel (1987), Prix Cosmos 2000 (1988)')",
https://www.goodreads.com/book/show/12497.No_Country_for_Old_Men,,No Country for Old Men,Cormac McCarthy,4.11,158026,158026,309.0,2005.0,False,"Fiction, Thriller, Mystery, Crime, Westerns, Mystery, Literature, Novels, Classics, Contemporary, Literature, American","(5, 'Hammett Prize Nominee (2005), Audie Award for Audiobook Adaptation (2011), Exclusive Books Boeke Prize Nominee (2007), Falcon Award (2008), International Dublin Literary Award Nominee for Shortlist (2007)')","United States of America, Terrell County, Texas"
https://www.goodreads.com/book/show/30333938-slammed,,Slammed,Colleen Hoover,4.25,216927,216927,354.0,2012.0,True,"Romance, New Adult, Young Adult, Contemporary, Romance, Contemporary Romance, Fiction, Womens Fiction, Chick Lit, Young Adult, High School, Realistic Fiction, Poetry","(1, 'Goodreads Choice Award Nominee for Young Adult Fiction and for Goodreads Author (2012)')","Ypsilanti, Michigan"
https://www.goodreads.com/book/show/24128.The_Merchant_of_Venice,,The Merchant of Venice,William Shakespeare,3.8,162485,162485,337.0,1596.0,False,"Classics, Plays, Fiction, Drama, Academic, School, Literature, Plays, Theatre, Academic, Read For School, Poetry, Classics, Classic Literature","(0, nan)","Republic of Venice, Venice"
https://www.goodreads.com/book/show/13006.Julius_Caesar,,Julius Caesar,William Shakespeare,3.69,175323,175323,128.0,1599.0,False,"Classics, Plays, Fiction, Drama, Academic, School, Historical, Historical Fiction, Literature, Academic, Read For School, Plays, Theatre, Young Adult, High School","(0, nan)","Rome, Italy, Philippi"
https://www.goodreads.com/book/show/30868.The_Bean_Trees,,The Bean Trees,Barbara Kingsolver,3.98,137571,137571,232.0,1988.0,True,"Fiction, Contemporary, Novels, Literary Fiction, Adult Fiction, Adult, Classics, Academic, School, Literature, Realistic Fiction","(0, nan)","Tucson, Arizona"
https://www.goodreads.com/book/show/15638.Cyrano_de_Bergerac,,Cyrano de Bergerac,Edmond Rostand,4.07,73469,73469,240.0,1897.0,False,"Classics, Plays, Fiction, Drama, Cultural, France, Romance, Plays, Theatre, Academic, School, Literature, Historical, Historical Fiction","(0, nan)","France, Arras, Paris"
https://www.goodreads.com/book/show/5439.Interpreter_of_Maladies,,Interpreter of Maladies,Jhumpa Lahiri,4.16,164818,164818,198.0,1999.0,False,"Short Stories, Fiction, Cultural, India, Contemporary, Literary Fiction, Literature, Asian Literature, Indian Literature, Cultural, Asia, Adult Fiction, Adult","(3, 'Pulitzer Prize for Fiction (2000), PEN/Hemingway Foundation Award (2000), Puddly Award for Short Stories (2001)')","Boston, Massachusetts, Kolkata, Odisha, Connecticut"
https://www.goodreads.com/book/show/902.The_Westing_Game,,The Westing Game,Ellen Raskin,4.01,177147,177147,182.0,1978.0,False,"Mystery, Young Adult, Fiction, Childrens, Middle Grade, Childrens, Classics, Thriller, Mystery Thriller, Academic, School, Childrens, Juvenile, Realistic Fiction","(6, ""Newbery Medal (1979), Banta Award, Dorothy Canfield Fisher Children's Book Award Nominee (1980), Boston Globe-Horn Book Award for Fiction (1978), National Book Award Finalist for Children's Book, Fiction (Paperback) (1981), Virginia Reader's Choice"")","Westingtown, Milwaukee, Wisconsin"
https://www.goodreads.com/book/show/77390.Anne_of_Avonlea,,Anne of Avonlea,L.M. Montgomery,4.19,155647,155647,304.0,1909.0,True,"Classics, Fiction, Young Adult, Historical, Historical Fiction, Childrens, Historical, Romance, Cultural, Canada, Audiobook, Childrens, Middle Grade","(0, nan)",Prince Edward Island
https://www.goodreads.com/book/show/7723542-a-dog-s-purpose,,A Dog's Purpose,W. Bruce Cameron,4.34,117923,117923,319.0,,True,"Fiction, Animals, Animals, Dogs, Contemporary, Adult, Fantasy, Audiobook, Adult Fiction, Humor, Young Adult","(2, 'Goodreads Choice Award Nominee for Fiction (2010), Missouri Gateway Readers Award Nominee (2013)')",
https://www.goodreads.com/book/show/35729.Lover_Eternal,,Lover Eternal,J.R. Ward,4.33,177249,177249,441.0,,True,"Romance, Fantasy, Paranormal, Romance, Paranormal Romance, Paranormal, Vampires, Fantasy, Fantasy, Urban Fantasy, Adult, Fiction, Adult Fiction, Erotica, Fantasy, Supernatural","(0, nan)","Caldwell, New York"
https://www.goodreads.com/book/show/227571.Peace_Like_a_River,,Peace Like a River,Leif Enger,3.98,84404,84404,312.0,2001.0,False,"Fiction, Historical, Historical Fiction, Book Club, Adult Fiction, Novels, Literary Fiction, Adult, Contemporary, Young Adult, Coming Of Age, Family","(4, 'Book Sense Book of the Year Award for Adult Fiction (2002), Independent Publisher Book Award (IPPY) for Fiction - General (2002), ALA Alex Award (2002), International Dublin Literary Award Nominee (2003)')","United States of America, North Dakota"
https://www.goodreads.com/book/show/15241.The_Two_Towers,,The Two Towers,J.R.R. Tolkien,4.45,757279,757279,322.0,1954.0,True,"Fantasy, Fiction, Classics, Adventure, Science Fiction Fantasy, Fantasy, High Fantasy, Fantasy, Epic Fantasy, Novels, Literature, Young Adult","(0, nan)",Middle-earth
https://www.goodreads.com/book/show/5527.All_the_King_s_Men,,All the King's Men,Robert Penn Warren,4.06,60309,60309,439.0,1946.0,False,"Fiction, Classics, Historical, Historical Fiction, Politics, Literature, Novels, Literature, American, Literary Fiction, American, Southern, Historical","(3, 'Pulitzer Prize for Fiction (1947), Prix du Meilleur Livre Étranger for Roman (1953), Mikael Agricola -palkinto (1977)')",Southern Region
https://www.goodreads.com/book/show/25480342-a-monster-calls,,A Monster Calls,Patrick Ness,4.33,223246,223246,237.0,2011.0,False,"Fantasy, Young Adult, Fiction, Horror, Childrens, Middle Grade, Contemporary, Magical Realism, Childrens, Fantasy, Paranormal, Death","(22, ""Bram Stoker Award Nominee for Best Young Adult Novel (2011), Kate Greenaway Medal (2012), Galaxy British Book Awards for Children's Book of the Year (2011), Grand Prix de l'Imaginaire for Jeunesse (2013), Los Angeles Times Book Prize Nominee for Young Adult Literature (2011), Red House Children's Book Award (2012), Rhode Island Teen Book Award Nominee (2014), Deutscher Jugendliteraturpreis for Preis der Jugendjury & Nominierung Kategorie Kinderbuch (2012), Tähtifantasia Award Nominee (2017), The Inky Awards Nominee for Silver Inky (2012), Gouden Lijst for vertaald boek (2014), Lincoln Award Nominee (2015), Galaxy National Book Award for Children’s Book of the Year (2011), Grampian Children’s Book Award Nominee (2013), The Kitschies for Red Tentacle (Novel) (2011), Goodreads Choice Award Nominee for Middle Grade & Children's (2011), Carnegie Medal (2012), The Inky Awards Shortlist for Silver Inky (2012), Prix Elbakin.net for Meilleur roman fantasy traduit Jeunesse (2012), Europese Literatuurprijs Nominee (2014), Rebecca Caudill Young Readers' Book Award Nominee (2016), Premi Protagonista Jove for Categoria 13-14 anys (2017)"")","England, United Kingdom"
https://www.goodreads.com/book/show/65641.The_Silver_Chair,,The Silver Chair,C.S. Lewis,3.95,252487,252487,243.0,1953.0,True,"Fantasy, Fiction, Classics, Young Adult, Childrens, Christian, Adventure, Childrens, Middle Grade, Christian Fiction, Science Fiction Fantasy","(0, nan)",
https://www.goodreads.com/book/show/14935.Sense_and_Sensibility,,Sense and Sensibility,Jane Austen,4.08,986221,986221,409.0,1811.0,False,"Classics, Fiction, Romance, Historical, Historical Fiction, Literature, Historical, Classics, Classic Literature, Literature, 19th Century, Novels, European Literature, British Literature","(0, nan)","England, United Kingdom, Devonshire, England"
https://www.goodreads.com/book/show/567678.The_Wasp_Factory,,The Wasp Factory,Iain Banks,3.81,87973,87973,192.0,1984.0,False,"Fiction, Horror, Thriller, Mystery, Contemporary, Dark, Drama, Suspense, Novels, Classics","(1, 'Kurd-Laßwitz-Preis for Foreign Novel (1992)')",Scotland
